# Number of nodes: 1000
# Number of edges in Barabasi graph: 3
# Graph 	 Messages 	 Different initial 	 Similar Initial
16	1	66.848	51.669
16	2	57.93	63.115
16	3	65.848	51.279
16	4	63.902	51.287
16	5	69.614	44.318
16	6	62.519	49.831
17	1	64.404	43.059
17	2	62.534	66.151
17	3	60.915	53.663
17	4	47.706	44.986
17	5	72.735	56.341
17	6	66.826	51.134
18	1	47.33	50.901
18	2	64.86	43.012
18	3	64.667	46.175
18	4	56.098	37.527
18	5	65.012	55.613
18	6	55.632	36.849
19	1	54.748	46.427
19	2	69.136	42.026
19	3	63.167	51.771
19	4	63.922	48.379
19	5	70.94	41.147
19	6	54.523	58.048
20	1	51.84	53.595
20	2	67.626	38.41
20	3	67.96	44.5
20	4	59.732	57.324
20	5	57.252	42.562
20	6	47.954	42.98
21	1	67.799	36.355
21	2	57.847	42.476
21	3	60.456	55.949
21	4	65.259	55.236
21	5	62.551	51.951
21	6	74.371	53.48
22	1	61.68	34.433
22	2	54.69	49.486
22	3	68.965	48.804
22	4	64.342	50.131
22	5	63.154	44.341
22	6	66.698	38.595
23	1	64.422	61.21
23	2	54.006	64.926
23	3	70.788	57.263
23	4	70.89	49.702
23	5	57.32	35.034
23	6	75.216	43.677
24	1	69.128	36.38
24	2	58.63	45.822
24	3	61.069	66.694
24	4	52.185	42.761
24	5	66.494	57.278
24	6	69.702	34.252
25	1	49.681	47.633
25	2	64.53	46.448
25	3	62.333	49.554
25	4	52.153	45.538
25	5	64.504	59.456
25	6	69.735	53.172
26	1	57.768	46.742
26	2	56.038	48.502
26	3	75.762	45.842
26	4	73.241	43.591
26	5	71.974	53.083
26	6	66.515	51.579
27	1	60.283	42.778
27	2	49.063	50.267
27	3	75.931	61.011
27	4	58.256	52.342
27	5	60.266	60.455
27	6	57.365	52.213
28	1	67.615	49.775
28	2	59.175	37.608
28	3	68.284	60.329
28	4	57.347	42.376
28	5	71.225	45.636
28	6	67.858	55.378
29	1	53.595	40.785
29	2	64.601	52.452
29	3	73.96	50.311
29	4	62.108	63.883
29	5	46.393	49.007
29	6	71.139	26.671
30	1	48.63	42.654
30	2	61.728	65.554
30	3	65.185	52.134
30	4	64.089	40.868
30	5	49.426	55.872
30	6	68.531	59.05
31	1	61.624	44.169
31	2	57.289	60.778
31	3	56.48	47.427
31	4	58.632	63.363
31	5	56.89	41.906
31	6	54.879	49.245
32	1	59.768	48.302
32	2	60.478	45.671
32	3	62.02	51.816
32	4	61.543	66.33
32	5	82.347	46.74
32	6	53.535	51.668
33	1	67.01	52.723
33	2	66.358	52.026
33	3	56.301	34.091
33	4	69.917	37.52
33	5	79.42	60.218
33	6	54.919	46.767
34	1	59.776	38.077
34	2	75.091	54.455
34	3	63.766	63.409
34	4	71.228	45.409
34	5	61.832	53.614
34	6	71.551	47.18
35	1	71.697	38.139
35	2	56.273	57.655
35	3	65.625	43.41
35	4	61.116	57.231
35	5	57.813	39.108
35	6	56.747	62.748
36	1	56.91	51.046
36	2	68.011	56.466
36	3	75.406	40.789
36	4	76.02	44.911
36	5	59.464	46.344
36	6	54.903	32.838
37	1	49.678	34.61
37	2	55.955	42.047
37	3	62.148	55.939
37	4	57.603	63.345
37	5	47.092	42.452
37	6	76.53	29.964
38	1	49.421	40.029
38	2	59.704	64.86
38	3	60.454	60.155
38	4	62.469	61.111
38	5	59.098	47.544
38	6	70.313	52.675
39	1	66.374	50.64
39	2	66.672	56.608
39	3	64.423	57.472
39	4	50.86	62.206
39	5	81.725	54.618
39	6	62.841	50.51
40	1	50.578	45.574
40	2	72.517	40.548
40	3	45.523	52.096
40	4	51.99	43.41
40	5	60.49	62.661
40	6	59.445	48.585
41	1	53.324	53.321
41	2	72.476	53.219
41	3	59.971	44.094
41	4	56.535	55.237
41	5	55.926	41.68
41	6	58.567	69.404
42	1	52.82	43.976
42	2	69.942	56.813
42	3	53.334	49.522
42	4	48.872	46.92
42	5	77.955	55.509
42	6	56.967	55.28
43	1	67.469	49.706
43	2	63.407	48.397
43	3	55.182	48.742
43	4	70.461	48.898
43	5	77.643	28.523
43	6	60.354	46.146
44	1	60.612	40.908
44	2	49.006	49.268
44	3	64.556	61.371
44	4	47.316	47.712
44	5	69.027	47.424
44	6	55.471	60.394
45	1	64.478	40.513
45	2	64.631	39.971
45	3	41.904	59.137
45	4	67.326	52.213
45	5	53.954	52.74
45	6	57.162	48.201
46	1	46.687	22.887
46	2	63.624	46.245
46	3	64.629	58.882
46	4	71.918	60.424
46	5	62.571	43.55
46	6	68.464	52.634
47	1	53.197	41.397
47	2	63.737	57.918
47	3	59.3	36.21
47	4	66.746	45.914
47	5	60.61	63.894
47	6	73.076	33.639
48	1	67.555	53.922
48	2	54.866	54.327
48	3	73.049	39.011
48	4	58.888	43.401
48	5	61.359	45.843
48	6	54.399	49.841
49	1	54.254	45.07
49	2	60.541	47.211
49	3	61.503	47.565
49	4	61.178	53.967
49	5	56.745	53.522
49	6	61.893	44.532
50	1	61.63	58.971
50	2	63.265	53.548
50	3	52.119	54.654
50	4	62.221	48.852
50	5	50.623	51.098
50	6	56.003	32.664
51	1	64.707	50.887
51	2	48.194	37.818
51	3	76.3	43.729
51	4	59.749	40.116
51	5	64.087	72.239
51	6	66.802	59.517
52	1	48.893	38.08
52	2	60.15	43.507
52	3	78.599	53.976
52	4	69.67	50.912
52	5	52.979	56.075
52	6	47.084	56.079
53	1	47.071	42.915
53	2	56.88	55.377
53	3	73.873	48.704
53	4	58.502	45.523
53	5	57.724	53.026
53	6	60.622	59.748
54	1	41.614	53.21
54	2	73.622	42.851
54	3	80.107	48.858
54	4	65.389	61.203
54	5	69.879	43.081
54	6	79.317	51.733
55	1	65.372	51.518
55	2	63.12	38.574
55	3	57.535	58.325
55	4	51.993	45.713
55	5	70.203	54.375
55	6	67.458	38.858
56	1	57.43	48.841
56	2	57.338	42.392
56	3	69.254	53.758
56	4	59.718	60.523
56	5	53.596	46.325
56	6	72.153	52.116
57	1	56.518	39.456
57	2	53.812	41.219
57	3	69.369	42.589
57	4	41.361	64.579
57	5	57.579	52.115
57	6	51.03	48.574
58	1	54.182	37.542
58	2	66.742	45.908
58	3	58.479	65.47
58	4	58.106	29.138
58	5	69.765	55.873
58	6	61.317	43.519
59	1	62.234	31.325
59	2	73.899	47.149
59	3	57.47	51.855
59	4	60.712	50.07
59	5	63.391	54.428
59	6	65.13	36.135
60	1	63.741	46.542
60	2	55.822	48.726
60	3	62.308	44.111
60	4	59.516	47.075
60	5	78.099	57.624
60	6	65.302	43.789
61	1	46.386	47.395
61	2	58.255	59.39
61	3	49.204	36.528
61	4	67.912	55.395
61	5	68.156	32.379
61	6	63.21	55.106
62	1	54.364	45.327
62	2	53.214	47.892
62	3	55.323	53.475
62	4	60.696	47.217
62	5	73.254	57.848
62	6	66.267	42.38
63	1	46.598	37.755
63	2	58.681	51.381
63	3	68.305	46.114
63	4	51.854	44.202
63	5	75.731	41.453
63	6	72.457	67.487
64	1	59.267	45.055
64	2	57.799	53.175
64	3	61.854	54.896
64	4	59.012	39.604
64	5	72.328	47.499
64	6	54.583	56.552
65	1	53.772	52.457
65	2	62.81	51.355
65	3	64.556	56.961
65	4	59.092	47.29
65	5	64.668	48.875
65	6	51.128	42.333
66	1	48.482	40.266
66	2	56.655	48.288
66	3	71.428	42.618
66	4	70.597	61.581
66	5	67.864	43.19
66	6	59.833	43.307
67	1	53.652	51.807
67	2	65.937	47.142
67	3	62.339	47.555
67	4	59.905	58.046
67	5	52.455	60.141
67	6	63.713	53.563
68	1	59.371	36.766
68	2	61.514	58.318
68	3	65.065	51.86
68	4	68.349	51.111
68	5	63.68	53.128
68	6	63.769	44.055
69	1	56.348	37.653
69	2	57.177	60.403
69	3	56.18	57.594
69	4	52.381	43.576
69	5	64.051	55.256
69	6	46.444	50.924
70	1	60.519	29.664
70	2	61.52	39.932
70	3	59.172	40.99
70	4	44.107	52.946
70	5	67.882	48.232
70	6	56.42	37.61
71	1	59.275	44.598
71	2	54.334	48.678
71	3	68.154	45.797
71	4	73.087	48.39
71	5	67.392	37.401
71	6	54.4	45.549
72	1	59.2	45.79
72	2	73.433	35.988
72	3	69.324	59.322
72	4	53.9	37.737
72	5	54.889	52.612
72	6	70.597	38.119
73	1	57.13	51.615
73	2	54.478	50.811
73	3	64.638	54.799
73	4	74.468	67.803
73	5	71.973	47.195
73	6	61.248	64.839
74	1	59.249	45.51
74	2	80.378	58.503
74	3	70.225	48.549
74	4	68.074	42.571
74	5	60.68	69.122
74	6	54.997	44.069
75	1	47.793	58.502
75	2	66.241	55.948
75	3	60.139	39.049
75	4	67.174	52.829
75	5	65.029	46.732
75	6	70.675	44.195
76	1	56.254	42.503
76	2	62.217	46.293
76	3	74.448	41.65
76	4	63.876	56.838
76	5	57.28	41.525
76	6	60.784	46.563
77	1	66.961	33.023
77	2	49.014	45.877
77	3	67.878	36.978
77	4	62.026	60.801
77	5	54.41	48.441
77	6	71.194	53.148
78	1	61.501	45.463
78	2	66.527	47.048
78	3	72.143	51.393
78	4	80.011	55.296
78	5	60.627	42.603
78	6	59.924	57.685
79	1	51.591	49.011
79	2	65.107	43.978
79	3	79.053	45.064
79	4	67.418	48.099
79	5	53.122	70.537
79	6	66.955	52.191
80	1	51.905	46.672
80	2	65.285	35.428
80	3	59.89	47.691
80	4	53.481	34.072
80	5	58.607	49.217
80	6	65.843	55.221
81	1	46.658	42.829
81	2	64.068	60.687
81	3	72.286	66.143
81	4	58.179	40.9
81	5	71.718	44.179
81	6	66.235	58.077
82	1	57.045	38.053
82	2	65.432	44.018
82	3	47.704	51.085
82	4	61.463	43.181
82	5	56.28	63.228
82	6	76.708	58.116
83	1	59.974	43.191
83	2	49.019	49.163
83	3	73.609	58.356
83	4	67.348	33.167
83	5	54.425	67.857
83	6	54.322	39.003
84	1	69.269	44.664
84	2	57.723	56.99
84	3	64.489	50.918
84	4	66.922	50.172
84	5	79.839	57.318
84	6	69.023	59.547
85	1	57.225	38.851
85	2	55.385	38.845
85	3	71.603	42.359
85	4	78.412	38.268
85	5	50.913	49.234
85	6	74.353	61.206
86	1	47.537	38.032
86	2	42.624	30.59
86	3	59.785	42.579
86	4	61.108	49.158
86	5	60.023	56.766
86	6	50.474	56.884
87	1	58.799	44.584
87	2	61.13	49.528
87	3	53.542	63.973
87	4	61.889	77.753
87	5	64.893	51.627
87	6	59.386	46.892
88	1	62.104	44.617
88	2	59.881	53.271
88	3	49.084	41.339
88	4	65.028	38.944
88	5	64.63	54.645
88	6	52.489	48.629
89	1	54.987	47.868
89	2	58.059	52.161
89	3	75.854	47.66
89	4	58.047	44.007
89	5	57.167	44.102
89	6	82.522	62.494
90	1	55.224	40.641
90	2	64.865	39.533
90	3	71.778	44.705
90	4	58.491	36.095
90	5	64.047	51.674
90	6	67.416	34.622
91	1	62.397	41.486
91	2	66.943	44.027
91	3	67.446	56.532
91	4	56.035	51.807
91	5	65.502	60.999
91	6	56.981	40.1
92	1	51.684	39.024
92	2	65.952	40.526
92	3	59.594	43.424
92	4	51.97	32.17
92	5	42.373	46.593
92	6	70.583	55.194
93	1	43.93	51.271
93	2	58.12	39.987
93	3	48.183	51.58
93	4	51.762	48.715
93	5	70.875	57.36
93	6	65.166	52.609
94	1	58.269	43.51
94	2	76.331	56.155
94	3	64.417	54.013
94	4	66.411	47.249
94	5	58.051	49.805
94	6	55.427	42.203
95	1	55.821	36.285
95	2	72.32	41.24
95	3	64.529	50.044
95	4	64.99	46.25
95	5	78.687	53.251
95	6	70.327	50.408
96	1	54.218	43.417
96	2	69.417	41.43
96	3	46.714	45.855
96	4	45.564	43.659
96	5	73.329	51.217
96	6	65.461	40.853
97	1	49.072	36.978
97	2	66.249	38.484
97	3	56.093	43.074
97	4	69.342	55.266
97	5	67.231	36.477
97	6	60.624	55.583
98	1	58.754	38.219
98	2	56.241	46.506
98	3	66.372	59.946
98	4	64.058	42.328
98	5	54.591	58.103
98	6	56.744	48.363
99	1	60.888	58.678
99	2	60.239	45.338
99	3	67.482	42.161
99	4	56.534	60.781
99	5	68.295	51.654
99	6	61.407	57.617
100	1	60.813	35.256
100	2	51.231	58.368
100	3	69.348	56.312
100	4	60.476	60.217
100	5	65.163	52.556
100	6	69.415	61.644
