# Number of nodes: 1000
# Number of edges in Barabasi graph: 3
# Graph 	 Messages 	 Different initial 	 Similar Initial
1	1	56.292	44.976
1	2	68.767	49.684
1	3	60.709	45.899
1	4	47.528	47.333
1	5	71.683	59.485
1	6	61.203	35.718
2	1	50.884	42.71
2	2	63.007	54.511
2	3	65.65	35.524
2	4	58.306	51.054
2	5	71.872	46.73
2	6	63.627	39.436
3	1	51.724	45.49
3	2	58.845	59.591
3	3	42.698	46.347
3	4	61.591	55.399
3	5	66.338	61.284
3	6	67.64	67.687
4	1	62.66	44.92
4	2	65.998	48.682
4	3	58.315	55.266
4	4	56.725	36.378
4	5	61.772	58.997
4	6	75.792	46.455
5	1	53.097	44.639
5	2	68.809	66.179
5	3	69.08	51.337
5	4	67.03	51.07
5	5	49.762	57.692
5	6	73.597	58.849
6	1	64.87	40.865
6	2	58.221	39.309
6	3	58.77	40.518
6	4	75.3	38.351
6	5	63.981	54.265
6	6	66.089	54.725
7	1	62.546	41.733
7	2	62.654	49.485
7	3	63.491	42.156
7	4	63.39	49.435
7	5	70.212	46.84
7	6	68.594	47.682
8	1	42.565	43.001
8	2	49.393	45.914
8	3	62.857	47.042
8	4	60.466	53.345
8	5	51.05	40.534
8	6	56.336	64.767
9	1	47.309	38.982
9	2	51.989	43.226
9	3	67.252	57.242
9	4	62.833	46.22
9	5	63.196	52.907
9	6	63.04	55.91
10	1	62.491	44.063
10	2	66.727	39.291
10	3	68.498	50.535
10	4	70.928	48.693
10	5	64.737	36.932
10	6	73.011	37.29
11	1	51.03	50.839
11	2	72.064	55.105
11	3	61.098	56.436
11	4	61.366	55.162
11	5	52.88	44.416
11	6	63.541	48.779
12	1	60.212	47.765
12	2	61.647	37.592
12	3	55.269	65.13
12	4	45.196	35.229
12	5	65.7	35.919
12	6	73.893	46.289
13	1	52.761	51.576
13	2	74.56	49.197
13	3	60.656	47.75
13	4	67.624	47.287
13	5	68.421	49.477
13	6	68.83	54.474
14	1	69.465	49.623
14	2	70.07	55.902
14	3	59.3	54.472
14	4	59.844	39.515
14	5	52.427	55.596
14	6	55.529	51.623
15	1	64.597	53.323
15	2	64.534	56.327
15	3	69.032	61.792
15	4	79.013	36.997
15	5	42.342	45.904
15	6	59.888	53.799
