# Number of nodes: 100
# Number of edges in Barabasi graph: 3
# Graph 	 Messages 	 Different initial 	 Similar Initial
39	1	53.65	47.72
39	2	72.91	57.83
39	3	65.91	49.62
39	4	61.9	50.89
39	5	55.82	46.52
39	6	71.89	58.52
40	1	64.13	50.03
40	2	65.55	52.16
40	3	66.42	41.56
40	4	62.45	40.92
40	5	68.42	46.0
40	6	61.1	49.01
41	1	56.91	39.75
41	2	65.81	56.31
41	3	58.69	56.82
41	4	60.02	45.31
41	5	66.58	41.17
41	6	58.54	46.14
42	1	55.23	46.93
42	2	62.01	48.24
42	3	52.49	47.59
42	4	65.59	49.37
42	5	64.61	53.56
42	6	65.98	54.85
43	1	58.1	39.33
43	2	58.88	49.22
43	3	51.4	50.69
43	4	57.25	42.95
43	5	55.81	48.4
43	6	74.22	53.73
44	1	63.92	52.86
44	2	65.07	45.14
44	3	61.28	54.6
44	4	69.25	55.02
44	5	71.78	45.58
44	6	56.46	43.86
45	1	50.62	51.08
45	2	64.57	47.21
45	3	72.34	56.48
45	4	64.7	47.25
45	5	52.43	51.08
45	6	72.97	53.16
46	1	56.71	40.23
46	2	61.86	44.98
46	3	71.87	49.21
46	4	72.84	59.3
46	5	63.51	54.95
46	6	61.52	58.46
47	1	62.22	40.72
47	2	60.39	53.67
47	3	66.61	56.93
47	4	56.1	42.23
47	5	66.13	39.62
47	6	44.37	61.68
48	1	69.88	52.48
48	2	69.7	49.27
48	3	54.3	50.66
48	4	59.01	59.53
48	5	67.62	50.81
48	6	48.72	49.29
49	1	59.37	45.24
49	2	53.77	50.89
49	3	59.62	46.95
49	4	66.76	44.9
49	5	59.22	55.04
49	6	52.75	47.21
50	1	63.9	35.67
50	2	67.8	46.75
50	3	66.23	33.59
50	4	64.92	45.01
50	5	67.22	59.99
50	6	62.3	44.08
51	1	57.4	39.94
51	2	57.91	54.11
51	3	72.63	33.43
51	4	59.02	57.94
51	5	60.09	59.52
51	6	63.96	44.6
52	1	54.61	47.42
52	2	58.12	59.23
52	3	59.78	50.98
52	4	68.6	51.65
52	5	61.14	47.04
52	6	58.78	50.3
53	1	51.11	37.93
53	2	49.88	55.82
53	3	57.98	59.88
53	4	59.7	44.96
53	5	54.27	48.78
53	6	58.14	47.96
54	1	55.87	50.19
54	2	67.03	47.65
54	3	65.01	50.34
54	4	62.97	42.94
54	5	67.15	55.95
54	6	67.03	50.37
55	1	65.8	44.7
55	2	70.36	44.41
55	3	63.28	45.01
55	4	61.87	52.83
55	5	82.71	48.61
55	6	62.18	47.37
56	1	55.88	42.48
56	2	54.39	54.78
56	3	64.3	51.25
56	4	63.17	51.45
56	5	72.7	51.72
56	6	66.94	49.22
57	1	64.11	38.05
57	2	62.1	47.78
57	3	59.12	53.04
57	4	67.43	49.32
57	5	71.9	57.28
57	6	62.63	55.56
58	1	57.78	51.06
58	2	61.97	52.28
58	3	56.02	50.95
58	4	60.78	50.89
58	5	74.08	50.67
58	6	60.15	40.68
59	1	54.42	54.15
59	2	63.21	49.05
59	3	64.78	49.63
59	4	76.09	53.98
59	5	59.33	57.88
59	6	53.67	47.98
60	1	52.67	37.36
60	2	68.12	46.05
60	3	73.54	59.0
60	4	59.98	50.24
60	5	73.49	59.89
60	6	61.98	49.24
61	1	57.39	52.37
61	2	60.62	54.59
61	3	60.81	42.89
61	4	68.72	44.95
61	5	68.34	49.5
61	6	56.7	41.76
62	1	47.33	47.74
62	2	61.59	51.7
62	3	69.02	48.49
