# Number of nodes: 10
# Number of edges in Barabasi graph: 3
# Graph 	 Messages 	 Different initial 	 Similar Initial
21	3	57.5	55.9
21	4	46.2	44.4
21	5	58.4	57.0
21	6	55.9	51.6
22	1	65.5	43.0
22	2	63.9	52.5
22	3	71.9	43.6
22	4	52.3	70.1
22	5	74.3	41.4
22	6	59.0	55.9
23	1	64.6	50.6
23	2	74.2	41.3
23	3	59.2	57.7
23	4	62.8	61.5
23	5	70.2	68.1
23	6	62.7	40.3
24	1	52.7	46.8
24	2	57.5	28.3
24	3	50.4	56.0
24	4	73.3	50.7
24	5	61.4	53.9
24	6	57.0	40.3
25	1	53.0	39.7
25	2	52.9	51.9
25	3	63.4	53.0
25	4	52.0	52.0
25	5	59.0	52.8
25	6	48.2	40.3
26	1	53.5	49.5
26	2	60.0	55.2
26	3	50.9	47.2
26	4	54.8	45.8
26	5	71.1	32.8
26	6	62.0	55.1
27	1	60.0	53.5
27	2	60.0	56.8
27	3	60.9	55.4
27	4	65.1	50.4
27	5	67.7	51.2
27	6	57.2	51.9
28	1	57.8	41.5
28	2	59.5	51.1
28	3	68.1	51.4
28	4	51.9	51.7
28	5	63.0	49.0
28	6	67.0	48.5
29	1	63.3	48.7
29	2	57.7	47.9
29	3	59.9	47.1
29	4	61.9	54.9
29	5	64.6	43.0
29	6	49.6	46.6
30	1	70.7	49.1
30	2	57.0	52.6
30	3	56.9	48.5
30	4	70.7	50.4
30	5	62.0	51.0
30	6	66.8	52.5
31	1	51.8	43.6
31	2	52.7	47.2
31	3	57.3	50.1
31	4	37.0	46.7
31	5	60.0	45.5
31	6	58.0	57.0
32	1	63.7	33.4
32	2	66.9	49.0
32	3	54.1	45.5
32	4	58.5	46.8
32	5	58.0	44.2
32	6	54.2	54.0
33	1	48.1	43.7
33	2	51.0	45.3
33	3	57.4	42.9
33	4	52.6	51.3
33	5	51.9	46.0
33	6	62.6	54.7
34	1	57.6	53.8
34	2	52.3	49.4
34	3	57.0	50.1
34	4	53.8	55.9
34	5	52.0	53.8
34	6	48.8	52.4
35	1	59.7	51.3
35	2	64.2	53.6
35	3	53.4	39.6
35	4	54.0	50.8
35	5	57.2	49.0
35	6	58.0	53.2
36	1	66.7	49.9
36	2	56.1	52.9
36	3	60.1	46.5
36	4	51.4	48.8
36	5	53.6	51.0
36	6	51.0	44.0
37	1	53.3	41.7
37	2	60.7	30.9
37	3	66.4	51.6
37	4	52.8	44.3
37	5	75.8	54.8
37	6	62.9	44.0
38	1	54.1	52.5
38	2	58.2	47.5
38	3	47.2	48.7
38	4	53.1	50.9
38	5	53.0	48.9
38	6	48.0	46.4
39	1	54.5	42.0
39	2	65.2	37.5
39	3	52.0	41.3
39	4	58.2	34.0
39	5	61.7	49.0
39	6	53.1	44.9
40	1	53.7	43.4
40	2	58.7	43.3
40	3	50.5	48.4
40	4	70.4	52.1
40	5	49.5	46.0
40	6	58.9	57.0
41	1	42.1	47.3
41	2	58.0	38.8
41	3	51.1	56.6
41	4	52.0	50.9
41	5	62.8	43.1
41	6	55.0	48.5
42	1	51.2	33.1
42	2	51.5	44.4
42	3	55.4	46.4
42	4	53.1	49.3
42	5	59.7	43.9
42	6	73.4	49.6
43	1	45.7	46.7
43	2	51.9	52.3
43	3	56.8	45.1
43	4	66.2	54.6
43	5	63.6	49.6
43	6	63.8	55.4
44	1	48.9	55.8
44	2	59.8	52.3
44	3	58.0	46.3
44	4	60.3	46.1
44	5	57.0	48.3
44	6	63.9	50.0
45	1	57.5	42.1
45	2	52.6	52.6
45	3	53.8	49.2
45	4	48.6	48.0
45	5	54.0	55.0
45	6	56.1	57.7
46	1	62.3	41.5
46	2	70.0	49.2
46	3	57.3	43.2
46	4	60.2	52.8
46	5	73.6	50.0
46	6	48.9	54.7
47	1	57.8	53.0
47	2	50.6	47.0
47	3	55.3	42.2
47	4	48.9	44.2
47	5	66.4	53.0
47	6	46.0	44.6
48	1	55.3	40.4
48	2	56.2	42.4
48	3	47.2	47.4
48	4	56.0	46.8
48	5	66.7	51.4
48	6	69.0	50.9
49	1	48.0	41.0
49	2	56.9	50.7
49	3	57.0	51.3
49	4	65.8	44.6
49	5	50.0	54.0
49	6	59.7	38.9
50	1	52.5	44.3
50	2	63.4	44.6
50	3	63.3	50.8
50	4	66.0	46.9
50	5	60.0	47.0
50	6	62.0	40.4
51	1	58.4	38.2
51	2	54.9	56.5
51	3	69.1	50.1
51	4	55.7	47.5
51	5	55.7	42.1
51	6	64.2	57.0
52	1	50.3	46.1
52	2	57.6	59.1
52	3	64.6	45.0
52	4	58.6	53.4
52	5	49.0	47.0
52	6	62.2	44.0
53	1	45.4	49.3
53	2	62.7	57.2
53	3	54.6	50.3
53	4	49.2	53.7
53	5	51.2	49.1
53	6	57.9	49.5
54	1	62.4	46.4
54	2	65.7	49.6
54	3	68.2	47.4
54	4	61.6	34.6
54	5	46.8	47.0
54	6	60.3	57.6
55	1	47.5	38.0
55	2	59.8	60.3
55	3	59.4	50.7
55	4	62.9	45.0
55	5	58.6	53.0
55	6	58.0	41.9
56	1	56.9	45.4
56	2	53.0	55.3
56	3	62.4	63.7
56	4	60.0	60.2
56	5	54.0	52.7
56	6	53.0	52.7
57	1	61.3	49.3
57	2	68.5	48.5
57	3	60.0	50.4
57	4	55.8	49.1
57	5	66.5	47.0
57	6	65.3	46.9
58	1	55.8	46.5
58	2	56.5	52.3
58	3	61.6	45.4
58	4	61.4	58.2
58	5	51.6	53.2
58	6	55.0	55.9
59	1	58.8	44.6
59	2	52.6	50.5
59	3	55.6	48.4
59	4	55.2	54.7
59	5	61.9	52.9
59	6	65.0	58.4
60	1	65.6	47.0
60	2	58.3	51.2
60	3	51.1	46.9
60	4	67.4	55.8
60	5	53.5	44.8
60	6	47.9	46.2
61	1	51.4	45.3
61	2	55.8	50.9
61	3	63.2	41.7
61	4	66.3	49.5
61	5	66.8	40.8
61	6	55.0	52.0
62	1	63.4	44.1
62	2	47.7	48.3
62	3	57.9	48.4
62	4	63.5	51.2
62	5	67.4	43.3
62	6	53.8	51.1
63	1	49.3	46.6
63	2	54.2	46.7
63	3	51.3	47.1
63	4	62.5	48.8
63	5	51.0	48.9
63	6	59.1	52.9
64	1	51.5	36.3
64	2	56.1	61.6
64	3	58.1	42.1
64	4	71.3	50.4
64	5	66.0	48.0
64	6	51.1	49.9
65	1	54.5	40.6
65	2	58.3	50.5
65	3	52.7	43.8
65	4	52.6	58.8
65	5	59.4	53.0
65	6	63.0	45.0
66	1	62.7	48.0
66	2	55.8	48.0
66	3	52.1	50.0
66	4	50.7	48.8
66	5	60.5	54.0
66	6	58.1	49.2
67	1	50.6	47.7
67	2	56.5	45.8
67	3	64.7	49.9
67	4	50.1	52.6
67	5	63.1	45.4
67	6	53.0	55.8
68	1	58.6	52.7
68	2	57.1	49.7
68	3	51.8	37.3
68	4	58.4	44.1
68	5	56.9	51.5
68	6	51.0	42.0
69	1	64.1	49.2
69	2	59.1	43.1
69	3	58.5	50.7
69	4	61.4	46.5
69	5	57.0	55.0
69	6	56.0	60.1
70	1	61.3	48.8
70	2	71.6	46.1
70	3	58.4	43.0
70	4	61.8	48.5
70	5	57.6	52.2
70	6	61.6	52.7
71	1	64.8	45.2
71	2	57.5	28.4
71	3	64.3	47.5
71	4	64.5	48.2
71	5	49.8	45.7
71	6	44.6	48.9
72	1	57.2	46.4
72	2	59.3	57.2
72	3	52.6	42.3
72	4	57.6	49.9
72	5	57.0	49.0
72	6	57.0	59.0
73	1	55.8	35.4
73	2	57.9	52.4
73	3	50.2	53.1
73	4	51.8	50.4
73	5	55.0	52.5
73	6	55.7	46.8
74	1	43.8	41.7
74	2	41.4	44.7
74	3	67.5	49.7
74	4	61.2	54.8
74	5	50.0	47.9
74	6	51.0	44.0
75	1	46.7	42.0
75	2	56.8	49.0
75	3	54.7	44.9
75	4	61.3	55.2
75	5	57.0	53.9
75	6	56.0	51.7
76	1	55.5	48.2
76	2	53.4	48.6
76	3	58.7	45.3
76	4	65.5	55.3
76	5	60.0	40.0
76	6	51.3	61.1
77	1	73.5	40.6
77	2	72.4	53.0
77	3	72.1	51.8
77	4	72.8	45.8
77	5	56.0	48.7
77	6	55.0	48.1
78	1	56.6	39.1
78	2	61.6	51.7
78	3	67.0	48.8
78	4	58.3	37.3
78	5	70.1	46.7
78	6	58.8	52.3
79	1	50.8	48.6
79	2	63.8	53.8
79	3	67.0	59.5
79	4	61.0	52.5
79	5	59.0	56.2
79	6	64.9	44.0
80	1	52.4	51.9
80	2	58.0	56.7
80	3	54.7	45.1
80	4	65.7	49.8
80	5	47.4	43.9
80	6	64.0	43.0
81	1	59.5	43.0
81	2	54.1	47.3
81	3	67.0	52.2
81	4	57.4	50.8
81	5	43.1	37.7
81	6	55.0	51.0
82	1	58.0	42.3
82	2	63.4	45.5
82	3	56.6	39.0
82	4	61.3	51.2
82	5	58.8	50.5
82	6	55.9	47.3
83	1	48.1	43.5
83	2	54.4	47.3
83	3	63.7	43.7
83	4	53.3	47.3
83	5	53.2	49.3
83	6	58.9	47.0
84	1	48.6	50.1
84	2	46.0	54.8
84	3	57.2	61.1
84	4	64.9	55.5
84	5	53.7	41.0
84	6	50.0	46.8
85	1	57.9	40.6
85	2	60.1	36.3
85	3	66.9	45.2
85	4	66.3	54.0
85	5	59.6	55.7
85	6	68.0	50.9
86	1	56.0	49.1
86	2	55.2	50.5
86	3	57.6	50.6
86	4	50.2	50.2
86	5	59.7	45.7
86	6	61.0	42.4
87	1	56.3	34.6
87	2	52.9	42.9
87	3	54.8	42.8
87	4	69.0	53.1
87	5	55.3	45.0
87	6	59.7	49.0
88	1	59.3	37.7
88	2	56.3	50.3
88	3	59.1	44.4
88	4	54.8	40.8
88	5	51.2	43.2
88	6	52.0	51.1
89	1	47.7	48.9
89	2	53.9	42.7
89	3	61.2	47.1
89	4	54.6	52.8
89	5	54.9	53.3
89	6	56.0	51.0
90	1	54.4	45.7
90	2	51.5	47.9
90	3	58.3	50.8
90	4	70.7	51.0
90	5	58.0	50.8
90	6	69.0	34.3
91	1	54.3	37.1
91	2	69.3	53.4
91	3	56.9	56.6
91	4	49.7	52.7
91	5	54.0	49.0
91	6	62.9	58.0
92	1	47.8	47.8
92	2	49.7	46.7
92	3	56.8	46.1
92	4	70.8	47.3
92	5	67.9	56.6
92	6	49.9	41.8
93	1	44.7	39.3
93	2	56.9	43.0
93	3	56.3	56.3
93	4	63.5	47.8
93	5	63.2	49.0
93	6	54.0	47.8
94	1	50.7	45.4
94	2	61.4	41.7
94	3	55.8	53.2
94	4	64.6	52.9
94	5	52.8	55.1
94	6	54.0	51.8
95	1	60.2	55.2
95	2	59.2	48.9
95	3	60.2	53.6
95	4	55.2	52.0
95	5	52.6	57.0
95	6	61.3	41.0
96	1	54.6	40.2
96	2	59.5	54.5
96	3	58.2	50.5
96	4	64.3	56.6
96	5	56.7	47.9
96	6	50.9	60.0
97	1	57.2	40.2
97	2	54.7	49.4
97	3	74.8	46.5
97	4	56.1	59.7
97	5	61.8	58.7
97	6	61.8	52.9
98	1	39.7	43.7
98	2	74.0	44.5
98	3	55.4	53.4
98	4	56.2	49.3
98	5	69.4	67.1
98	6	63.3	53.9
99	1	49.7	46.1
99	2	50.5	56.1
99	3	53.4	58.2
99	4	57.4	55.4
99	5	52.2	51.9
99	6	58.4	46.0
100	1	60.2	39.9
100	2	58.0	55.2
100	3	61.6	40.5
100	4	49.9	35.2
100	5	58.0	50.0
100	6	64.0	55.0
