# Number of nodes: 10
# Number of edges in Barabasi graph: 3
# Graph 	 Messages 	 Different initial 	 Similar Initial
1	1	64.5	46.2
1	2	71.5	47.5
1	3	69.3	52.7
1	4	54.8	55.7
1	5	62.9	54.4
1	6	61.1	53.0
2	1	57.4	48.8
2	2	56.8	45.7
2	3	50.6	56.8
2	4	52.7	40.0
2	5	65.1	52.0
2	6	56.0	48.7
3	1	43.6	43.6
3	2	63.1	42.8
3	3	57.7	50.2
3	4	48.0	36.0
3	5	54.0	45.1
3	6	55.1	56.2
4	1	56.8	45.9
4	2	73.0	38.0
4	3	49.1	50.1
4	4	68.3	44.9
4	5	73.7	55.0
4	6	60.1	43.3
5	1	65.5	49.7
5	2	68.4	43.5
5	3	72.8	55.2
5	4	61.2	56.8
5	5	66.4	40.9
5	6	65.8	52.7
6	1	49.7	40.9
6	2	61.9	45.4
6	3	63.7	46.1
6	4	59.0	42.2
6	5	69.9	40.1
6	6	62.9	53.0
7	1	54.6	47.1
7	2	60.3	57.8
7	3	50.1	47.5
7	4	63.5	53.9
7	5	58.9	46.9
7	6	59.2	60.2
8	1	54.4	42.8
8	2	58.8	66.4
8	3	61.1	54.9
8	4	55.3	54.7
8	5	75.9	63.9
8	6	50.0	35.1
9	1	65.3	47.0
9	2	68.8	50.2
9	3	56.9	49.0
9	4	56.1	49.4
9	5	62.4	54.7
9	6	56.5	47.6
10	1	55.2	47.4
10	2	52.1	55.7
10	3	54.8	55.5
10	4	69.7	44.9
10	5	67.4	45.2
10	6	78.0	43.9
11	1	54.7	46.6
11	2	73.5	58.2
11	3	62.9	43.5
11	4	56.4	40.7
11	5	60.3	46.2
11	6	59.2	39.2
12	1	57.6	43.5
12	2	55.7	47.5
12	3	58.0	50.3
12	4	58.5	53.1
12	5	59.9	38.5
12	6	56.9	49.9
13	1	51.9	54.1
13	2	56.5	48.8
13	3	52.1	50.4
13	4	53.3	52.0
13	5	49.0	48.8
13	6	55.0	56.0
14	1	54.5	48.9
14	2	61.6	48.7
14	3	61.2	42.0
14	4	58.2	56.4
14	5	67.0	52.0
14	6	63.8	50.8
15	1	59.9	38.4
15	2	60.8	49.1
15	3	65.5	46.7
15	4	56.0	40.8
15	5	68.5	42.0
15	6	51.0	49.9
16	1	64.6	64.2
16	2	43.9	36.4
16	3	68.2	47.8
16	4	58.7	46.2
16	5	66.4	56.3
16	6	78.7	50.2
17	1	49.5	47.4
17	2	57.0	42.8
17	3	57.9	52.1
17	4	54.9	50.2
17	5	65.4	56.6
17	6	53.5	52.0
18	1	50.5	47.2
18	2	57.4	50.5
18	3	51.4	55.3
18	4	54.7	44.5
18	5	48.1	60.0
18	6	48.0	48.7
19	1	62.1	45.8
19	2	50.1	41.4
19	3	48.7	46.3
19	4	60.0	59.7
19	5	59.8	44.7
19	6	60.0	46.0
20	1	52.7	47.5
20	2	48.2	40.5
20	3	65.6	53.9
20	4	61.7	55.2
20	5	56.3	53.9
20	6	52.5	55.0
21	1	54.0	44.0
21	2	49.3	44.7
