# Number of nodes: 10000
# Number of edges in Barabasi graph: 3
# Graph 	 Messages 	 Different initial 	 Similar Initial
1	1	49.8127	45.3833
1	2	65.5611	44.7442
1	3	56.5529	39.0071
2	1	50.9233	39.7798
2	2	57.3969	46.1108
2	3	71.2374	59.1611
3	1	65.9486	41.8562
3	2	60.8923	49.4718
3	3	64.7886	51.9007
4	1	48.074	51.4526
4	2	59.9874	48.3458
4	3	74.9194	53.6835
5	1	58.1472	41.12
5	2	75.997	37.8511
5	3	49.7481	37.6442
6	1	62.3849	55.4409
6	2	57.0243	52.4807
6	3	72.7685	36.0578
7	1	50.6158	61.8831
7	2	62.3218	60.1283
7	3	59.3421	41.0194
8	1	52.4866	46.3586
8	2	80.7376	45.2233
8	3	64.5349	60.159
9	1	55.9114	40.6145
9	2	50.7381	55.3319
9	3	60.6787	51.0726
10	1	51.6148	50.6681
10	2	54.0981	57.4622
10	3	66.8308	47.6922
11	1	62.4533	51.8134
11	2	54.8884	47.425
11	3	64.3514	44.8885
12	1	52.0665	44.2801
12	2	65.5847	49.897
12	3	57.2419	60.2235
13	1	71.0027	32.6364
13	2	57.5137	51.1505
13	3	49.8723	45.2905
14	1	51.7835	52.7201
14	2	62.6624	53.5871
14	3	68.8895	48.9881
15	1	55.2764	41.641
15	2	51.0453	40.823
15	3	66.2168	47.3789
16	1	56.0518	60.79
16	2	52.401	35.3879
16	3	71.0071	66.8693
17	1	50.0496	43.2742
17	2	67.523	48.3508
17	3	54.7028	43.0641
18	1	52.9763	48.5017
18	2	66.9186	49.9931
18	3	70.1449	59.3848
19	1	66.6755	46.4041
19	2	75.1988	53.0914
19	3	72.0035	53.101
20	1	60.5901	44.5579
20	2	55.1609	44.2092
20	3	56.1775	48.1491
21	1	50.5745	44.6903
21	2	69.8851	54.7087
21	3	65.4826	42.4824
22	1	55.2153	46.6704
22	2	67.8551	48.7939
22	3	53.1161	55.6573
23	1	57.4571	49.2006
23	2	70.5658	56.575
23	3	65.1462	60.8283
