# Number of nodes: 1000
# Number of edges in Barabasi graph: 3
# Prob 	 Different initial 	 Similar Initial 	 y_high_diff 	 y_low_diff 	 y_high_sim 	 y_low_sim 
0.1	63.58631700000001	51.036309	53.7391	73.6379	42.752	58.0312
0.2	61.73119899999997	49.93808199999999	54.0699	70.3194	41.2528	59.4536
0.3	63.572921000000015	49.205735000000026	53.4415	74.3158	41.7147	57.2343
0.4	62.572064999999995	50.62928999999999	54.807	72.4692	43.3348	57.9466
0.5	61.594384999999996	50.114252000000015	53.0856	70.8873	43.1109	59.1076
