# Number of nodes: 1000
# Number of edges in Barabasi graph: 3
# Messages 	 Different initial 	 Similar Initial 	 y_high_diff 	 y_low_diff 	 y_high_sim 	 y_low_sim 
1	57.09184000000001	44.37483000000001	47.537	66.961	36.766	52.723
2	61.84906	49.00477	53.812	72.32	39.291	59.591
3	63.58182000000001	50.40832999999997	53.542	73.96	41.339	60.329
4	61.47373999999998	49.06116	51.854	71.228	37.737	61.203
5	63.17229	50.75251999999998	52.455	73.329	41.453	60.455
6	63.38931999999998	49.50315000000004	54.4	73.597	37.29	60.394
