# Number of nodes: 1000
# Number of edges in Barabasi graph: 3
# Graph 	 Probability 	 Different initial 	 Similar Initial
35	0.4	58.7769	57.9466
35	0.5	61.8306	52.9611
36	0.1	60.6528	61.4385
36	0.2	64.431	45.4503
36	0.3	48.6572	54.759
36	0.4	63.1637	49.8184
36	0.5	57.8144	44.5281
37	0.1	59.2664	51.4392
37	0.2	66.5732	41.3141
37	0.3	58.8838	59.3168
37	0.4	58.6576	51.6809
37	0.5	56.3821	53.0082
38	0.1	48.0314	53.207
38	0.2	68.3586	35.6337
38	0.3	52.3257	41.0241
38	0.4	73.468	57.9734
38	0.5	58.3622	64.3061
39	0.1	73.296	56.8725
39	0.2	70.56	51.2769
39	0.3	63.3334	44.6267
39	0.4	63.5734	51.0594
39	0.5	59.3589	44.5771
40	0.1	56.3894	49.1477
40	0.2	62.3657	47.0793
40	0.3	50.6205	51.4285
40	0.4	55.2955	47.8505
40	0.5	63.2354	47.158
41	0.1	56.9526	53.1334
41	0.2	69.9256	51.3638
41	0.3	60.5465	49.794
41	0.4	52.7766	49.4088
41	0.5	71.6748	53.4453
42	0.1	62.482	39.0833
42	0.2	72.1897	42.0612
42	0.3	68.2525	54.2335
42	0.4	61.3479	56.7615
42	0.5	64.97	45.7308
43	0.1	73.6379	47.7673
43	0.2	55.8238	45.2315
43	0.3	52.7938	45.3472
43	0.4	57.1043	47.5349
43	0.5	62.7024	56.253
44	0.1	71.6778	49.2617
44	0.2	58.9696	34.6514
44	0.3	74.7302	46.9486
44	0.4	56.4432	47.8971
44	0.5	64.5034	51.1008
45	0.1	69.8507	46.2821
45	0.2	54.8978	47.2315
45	0.3	54.8407	50.0097
45	0.4	59.0299	50.9072
45	0.5	60.8722	42.8351
46	0.1	49.7951	57.0894
46	0.2	51.8954	42.9121
46	0.3	56.0422	56.2106
46	0.4	63.6378	43.7234
46	0.5	63.4459	46.1986
47	0.1	55.8264	52.694
47	0.2	61.1822	55.2832
47	0.3	57.2957	40.6654
47	0.4	58.1008	52.9081
47	0.5	52.0782	41.7879
48	0.1	77.1217	34.586
48	0.2	54.0699	62.0101
48	0.3	60.2995	41.6818
48	0.4	59.4786	48.0715
48	0.5	65.2437	47.0756
49	0.1	63.8538	53.3527
49	0.2	60.2653	51.3011
49	0.3	52.9014	42.724
49	0.4	58.2657	49.6909
49	0.5	59.8273	45.1388
50	0.1	75.0124	55.0217
50	0.2	59.1695	58.7228
50	0.3	62.6435	62.7402
50	0.4	64.6875	52.6613
50	0.5	59.6214	59.0213
51	0.1	77.0345	55.1496
51	0.2	57.8448	56.0392
51	0.3	56.0889	46.5815
51	0.4	63.5916	47.0059
51	0.5	73.1389	62.4418
52	0.1	61.4795	65.3284
52	0.2	53.8318	54.6148
52	0.3	50.2432	44.3316
52	0.4	67.632	57.8237
52	0.5	47.6184	51.8122
53	0.1	55.9402	39.0103
53	0.2	64.5714	49.0803
53	0.3	65.0555	60.1934
53	0.4	48.7063	64.4244
53	0.5	59.3741	40.6523
54	0.1	52.8251	62.0733
54	0.2	63.396	53.714
54	0.3	61.5223	47.7631
54	0.4	68.1469	56.6981
54	0.5	58.6626	55.2332
55	0.1	68.4094	49.3621
55	0.2	54.1408	45.6193
55	0.3	63.8979	52.8112
55	0.4	72.2731	49.0379
55	0.5	52.1991	56.9944
56	0.1	71.6593	55.6186
56	0.2	59.175	54.929
56	0.3	67.6594	58.6576
56	0.4	62.7374	41.3632
56	0.5	50.5255	46.9388
57	0.1	67.1689	42.8226
57	0.2	65.5109	42.448
57	0.3	57.7024	42.4854
57	0.4	60.0635	54.9251
57	0.5	67.3215	50.7408
58	0.1	55.7853	49.0477
58	0.2	65.7161	59.9123
58	0.3	55.3252	49.5346
58	0.4	63.711	44.2064
58	0.5	75.5277	53.2544
59	0.1	68.0047	39.1791
59	0.2	61.3922	48.62
59	0.3	52.1807	52.4794
59	0.4	59.555	44.4279
59	0.5	62.8056	51.0968
60	0.1	65.8957	55.3339
60	0.2	58.3129	58.407
60	0.3	63.4119	52.2605
60	0.4	74.7774	55.1007
60	0.5	72.4349	55.2802
61	0.1	58.3182	54.3094
61	0.2	52.5762	61.4329
61	0.3	70.2394	33.7866
61	0.4	57.811	60.1509
61	0.5	59.1538	49.9819
62	0.1	58.4735	50.8563
62	0.2	65.6178	46.5602
62	0.3	59.7955	47.8223
62	0.4	67.6924	64.6814
62	0.5	70.2724	60.0246
63	0.1	55.3529	50.2959
63	0.2	58.5633	53.3045
63	0.3	59.5931	52.6594
63	0.4	70.7843	47.8985
63	0.5	57.1354	45.475
64	0.1	69.8969	53.5612
64	0.2	54.4461	37.6044
64	0.3	62.2438	54.4403
64	0.4	59.1689	50.876
64	0.5	64.26	53.0812
65	0.1	56.8399	43.052
65	0.2	65.4862	35.0786
65	0.3	71.1183	45.1991
65	0.4	54.807	53.4788
65	0.5	56.3479	44.3181
66	0.1	54.8934	65.3152
66	0.2	63.7879	51.091
66	0.3	60.8163	42.2127
66	0.4	71.427	37.2319
66	0.5	49.4759	43.3712
67	0.1	66.8123	42.4143
67	0.2	59.6108	45.3582
67	0.3	71.6964	51.4296
67	0.4	60.6905	55.5741
67	0.5	58.7812	48.6692
68	0.1	70.5346	56.0662
68	0.2	51.3369	50.1344
68	0.3	53.8528	42.8951
68	0.4	73.4873	49.5894
68	0.5	56.4308	48.1403
69	0.1	71.096	48.5649
69	0.2	72.9156	42.0867
69	0.3	61.0898	38.2855
69	0.4	68.2628	40.2274
69	0.5	57.1938	37.735
70	0.1	67.0964	41.104
70	0.2	59.2092	48.4313
70	0.3	62.2923	40.7739
70	0.4	65.5467	55.3232
70	0.5	64.6345	48.441
71	0.1	63.7459	57.1879
71	0.2	59.6302	46.9004
71	0.3	76.9294	44.3418
71	0.4	68.2224	39.3873
71	0.5	60.2564	51.8817
72	0.1	61.7415	58.0312
72	0.2	76.1671	41.2528
72	0.3	67.9992	46.8237
72	0.4	59.2349	48.9603
72	0.5	53.8375	52.0269
73	0.1	59.4567	49.0729
73	0.2	54.8675	50.3354
73	0.3	61.8544	51.9462
73	0.4	72.6277	47.9034
73	0.5	58.536	49.0767
74	0.1	62.9822	52.1988
74	0.2	64.0178	46.813
74	0.3	68.1495	55.3233
74	0.4	60.4704	58.2931
74	0.5	51.5881	49.5575
75	0.1	50.0359	46.9035
75	0.2	50.7944	48.4401
75	0.3	72.5067	47.4353
75	0.4	68.0891	51.6043
75	0.5	48.0718	50.2352
76	0.1	66.0083	40.4913
76	0.2	61.3202	53.1926
76	0.3	69.3032	61.5704
76	0.4	73.2956	56.0541
76	0.5	56.6619	47.5148
77	0.1	76.0251	54.4424
77	0.2	67.8564	57.2929
77	0.3	64.4878	45.8729
77	0.4	54.1577	52.1919
77	0.5	59.1951	47.9557
78	0.1	57.5554	50.7861
78	0.2	66.9041	51.9654
78	0.3	72.8164	48.7641
78	0.4	77.3954	47.3438
78	0.5	58.1915	47.9206
79	0.1	56.3322	51.4866
79	0.2	60.4181	48.7701
79	0.3	50.49	55.1687
79	0.4	79.7809	53.4139
79	0.5	63.652	60.4054
80	0.1	64.8695	51.3798
80	0.2	70.1104	49.7635
80	0.3	68.2848	47.5101
80	0.4	61.0739	42.893
80	0.5	60.1108	38.4487
81	0.1	56.1439	55.9293
81	0.2	52.7003	35.4329
81	0.3	57.053	57.1313
81	0.4	49.0862	44.0917
81	0.5	65.9418	41.9483
82	0.1	63.0626	43.5129
82	0.2	65.6057	45.3093
82	0.3	70.975	49.9018
82	0.4	63.0128	51.0125
82	0.5	53.7612	49.2766
83	0.1	60.72	54.6443
83	0.2	64.5633	43.0519
83	0.3	65.4536	60.2597
83	0.4	58.5701	49.3306
83	0.5	68.9392	47.1103
84	0.1	68.4996	53.6351
84	0.2	57.8827	49.3127
84	0.3	66.198	47.7678
84	0.4	58.6465	48.1651
84	0.5	54.3125	46.1269
85	0.1	59.9071	58.0071
85	0.2	69.815	48.5017
85	0.3	70.6333	60.2115
85	0.4	56.2228	51.7426
85	0.5	59.891	46.8769
86	0.1	49.6499	42.706
86	0.2	65.2273	48.1834
86	0.3	64.6342	51.4078
86	0.4	64.2487	38.3221
86	0.5	64.7819	45.3445
87	0.1	61.3206	47.2149
87	0.2	58.919	59.8526
87	0.3	63.5538	54.2447
87	0.4	64.5434	58.9719
87	0.5	59.1145	50.0664
88	0.1	61.0775	49.416
88	0.2	64.4651	57.8408
88	0.3	62.2638	52.3369
88	0.4	61.014	51.5572
88	0.5	63.0626	49.4251
